	BACE1	UBQLN1	MS4A6A	ABI3	ZCWPW1	MS4A4A	FRMD4A	IGF1R	MAPT	TP53INP1	SLC30A6	GSK3B	INSR	APH1B	MAN2A1	PSEN1	MTHFR	SLC30A4	ACE	TFCP2	SORCS1	ALPK2	SOAT1	NOS3	PPP1R37	GLIS3	SRRM4	CST3	SORL1	APOC2	SCIMP	ENTPD7	CELF1	ARID5B	PGBD1	HFE	CD2AP	CTNNA3	TFAM	BDNF	CYP19A1	PM20D1	IGF1	CHRNB2	EIF2AK3	EPHA1	CLNK	NEDD9	SLC24A4	CR1	GAPDH
PPM1L	0.2388	0.6918	-0.2593	-0.2581	0.1222	-0.1586	0.6127	0.2297	0.4985	-0.1238	0.1223	0.7786	0.0181	0.1477	-0.0224	0.0015	0.1858	0.2707	-0.1319	0.266	0.5405	-0.0347	-0.0194	-0.0991	0.3413	-0.0337	0.6016	-0.1183	0.2282	-0.1301	-0.0875	0.0892	-0.0562	-0.1359	0.286	-0.1019	-0.2111	-0.1237	0.1014	0.2318	-0.1863	-0.2127	-0.1756	0.2826	-0.1565	-0.1548	-0.2703	-0.0633	0.1723	-0.1544	0.2825
RASGRF2	0.0444	0.4164	-0.4783	-0.3062	0.0733	-0.4335	0.551	-0.1651	0.3198	-0.3801	-0.2144	0.6065	-0.2585	-0.0022	-0.2313	-0.2216	-0.1503	0.0366	-0.309	0.0255	0.335	-0.2132	-0.2103	-0.2033	0.2404	-0.4145	0.3647	-0.3544	-0.1747	-0.2833	-0.2884	-0.0886	-0.3292	-0.3273	0.291	-0.3841	-0.1793	-0.3298	-0.1769	0.0169	-0.3989	-0.4534	-0.3774	0.1711	-0.2367	-0.3163	-0.2768	-0.2722	-0.0584	-0.3204	-0.0442
DNAH1	0.2464	0.2924	0.134	0.2187	0.4036	0.3285	0.2064	0.1476	0.3912	0.348	0.2003	0.305	0.1554	0.3375	0.1718	0.4027	0.2346	0.398	0.3963	0.382	0.2757	0.2815	0.2654	0.411	0.3838	0.177	-0.0061	0.1805	0.1949	0.3598	0.27	0.2385	0.3275	0.3834	0.359	0.2051	0.2448	0.0715	0.18	0.2076	0.3621	0.1209	0.1567	0.3958	0.2198	0.1543	0.1622	0.221	0.1879	0.0882	0.1562
RAB37	0.1021	0.227	-0.034	0.0391	0.1537	0.094	0.1354	0.0984	0.2498	0.0626	0.1104	0.2938	0.0304	0.1634	-0.0358	0.1063	0.064	0.203	0.1544	0.1917	0.3147	0.1049	0.1823	0.1549	0.2093	-0.0045	0.12	-0.0333	0.0509	0.0946	0.1139	0.1583	0.1103	0.1428	0.2384	0.0345	0.057	-0.0742	0.0659	0.1595	0.091	0.013	0.11	0.1994	-0.0003	0.0584	0.0365	-0.0128	0.1039	0.049	-0.0132
GAREM	0.3637	0.4213	0.1199	-0.1418	0.2059	0.0032	0.239	0.4443	0.1919	0.3328	0.3876	0.1803	0.558	0.5112	0.6245	0.4453	0.3113	0.4476	-0.0087	0.4526	0.1571	-0.0197	0.3964	-0.1391	-0.0994	0.3844	-0.0601	0.0026	0.2273	-0.0103	-0.0155	0.2236	-0.026	-0.0744	0.1313	0.0947	-0.1367	0.4226	0.1172	0.1368	-0.1148	0.1663	0.0001	-0.0481	-0.0901	-0.0735	-0.1788	0.029	0.324	0.2029	0.068
LRCH3	0.295	0.3317	0.209	0.1345	0.2487	0.2247	0.1449	0.2976	0.3211	0.4014	0.2997	0.1826	0.3093	0.3351	0.375	0.3931	0.335	0.4262	0.2562	0.3618	0.1538	0.2159	0.2871	0.2064	0.1978	0.3821	0.0276	0.1879	0.4324	0.157	0.2236	0.2216	0.2489	0.2431	0.2047	0.2837	0.0543	0.3442	0.1446	0.2188	0.2676	0.1655	0.1933	0.1199	0.1504	0.1978	0.0485	0.16	0.335	0.2005	0.128
TGFB2	0.0157	0.2637	0.3785	0.0325	0.0227	0.2119	0.072	0.3584	0.1923	0.2663	0.3398	0.0765	0.2677	0.2142	0.2778	0.201	0.249	0.1397	0.0851	0.1599	0.1461	0.08	0.1846	-0.0208	0.1053	0.6253	0.1846	0.0893	0.2549	0.0822	0.0842	0.1383	0.1029	-0.0113	-0.0265	0.1296	-0.0388	0.1383	0.0986	0.1505	0.0187	0.1916	0.1158	0.0889	-0.0236	0.0417	-0.1205	0.1164	0.2765	0.1527	0.2569
ZSCAN30	0.2501	0.1855	0.2012	0.088	0.0604	0.2183	0.005	0.206	0.1572	0.3414	0.3673	0.0292	0.1941	0.2033	0.3034	0.3193	0.2166	0.1951	0.1338	0.2315	-0.0274	0.2321	0.1025	-0.0015	0.0666	0.2632	0.1224	0.2542	0.2473	0.1262	0.3169	0.203	0.3233	0.1536	-0.0218	0.3159	0.0229	0.2907	0.1821	0.1958	0.1743	0.3047	0.3227	0.1124	0.0277	0.3057	0.0259	0.2342	0.2633	0.2663	0.0965
KCNK3	0.0256	0.155	0.058	0.2712	0.2926	0.289	0.1932	0.1302	0.3358	0.2199	0.113	0.1977	0.1208	0.1481	-0.0886	0.0568	0.1105	0.2276	0.262	0.1493	0.1842	0.257	0.2248	0.3145	0.36	0.0506	0.0884	0.225	0.1408	0.3055	0.2304	0.2787	0.3431	0.2808	0.1604	0.1692	0.2289	-0.0456	0.1349	0.1655	0.3043	0.1332	0.2029	0.349	0.1747	0.184	0.211	0.1573	0.1863	0.1035	-0.0325
ERCC1	0.0669	0.0655	-0.1485	-0.0362	0.2015	-0.2026	0.404	0.3225	0.1185	0.096	-0.0162	0.1295	0.312	0.3118	0.1776	0.0638	0.0134	0.2253	-0.107	0.3155	0.2555	-0.1058	0.2751	-0.1654	-0.1149	0.015	-0.1901	-0.0142	-0.1077	-0.1167	-0.2331	0.0468	-0.2372	-0.1489	0.1655	-0.1687	-0.0558	0.1067	-0.0237	-0.0739	-0.2993	-0.0622	-0.1689	-0.1036	-0.1457	-0.2044	-0.0449	-0.1204	0.089	0.1042	-0.2527
ABLIM2	0.2058	0.4517	-0.1508	-0.1174	0.149	-0.0623	0.4146	0.1375	0.4659	-0.175	-0.067	0.6959	0.0134	0.2482	-0.0603	0.1666	0.1655	0.443	0.2295	0.2379	0.6008	0.0285	0.1955	0.0971	0.356	-0.1119	0.1974	-0.1767	-0.0467	0.0653	0.0259	0.0478	-0.0306	0.0381	0.3111	-0.1348	0.0829	-0.1821	0.1615	0.1622	-0.0667	-0.1921	-0.1564	0.3416	-0.0745	-0.1515	0.0005	-0.0607	0.0417	-0.2297	0.2503
MYH11	0.0711	0.0214	0.2715	0.2635	0.038	0.3467	-0.2408	-0.02	0.0337	0.254	0.1788	-0.0769	0.0279	-0.0962	0.052	0.1873	0.1137	-0.0301	0.183	-0.0424	-0.1926	0.2561	-0.0042	0.3444	0.2041	0.2165	0.0068	0.1872	0.2984	0.2828	0.2909	0.1337	0.381	0.3359	0.0132	0.2694	0.2183	0.0573	0.1485	0.1707	0.4154	0.1917	0.2624	0.2307	0.2762	0.2878	0.1151	0.2565	0.1213	0.0881	0.2118
RIPK3	-0.0667	-0.1099	0.1674	0.4022	0.2303	0.3283	-0.0641	-0.0191	0.042	0.2546	0.0319	-0.1033	-0.0509	-0.0239	-0.1084	0.0472	-0.0098	0.0338	0.2794	-0.0066	-0.1289	0.274	0.0665	0.3343	0.1948	0.0535	-0.1556	0.3658	0.0795	0.2798	0.3184	0.1298	0.4	0.4126	0.0488	0.2446	0.2584	-0.0108	0.075	0.0809	0.4628	0.2173	0.2598	0.1755	0.3716	0.3244	0.2773	0.2497	0.0705	0.1224	-0.0172
UQCR10	0.2817	0.5023	-0.071	-0.1461	0.154	-0.0694	0.457	0.3106	0.4614	0.0739	0.1373	0.5747	0.2172	0.4856	0.2322	0.2445	0.196	0.4642	0.2211	0.4196	0.5105	0.0048	0.2664	-0.022	0.1839	0.0321	0.1602	-0.0031	0.1415	-0.0672	-0.1384	0.0306	-0.1272	-0.1391	0.2823	-0.0371	-0.1039	0.0294	0.1139	0.086	-0.1914	-0.1122	-0.1266	0.188	-0.0883	-0.228	-0.1318	-0.0929	0.1457	-0.0269	0.2898
ZNF300	0.322	0.0661	0.3616	0.2224	0.1654	0.253	-0.0845	0.39	0.0634	0.4445	0.3963	-0.1391	0.4961	0.3921	0.4763	0.4945	0.3005	0.3426	0.2385	0.3057	-0.0725	0.2635	0.4299	-0.004	-0.1135	0.3975	-0.2643	0.2656	0.1806	0.2228	0.2651	0.2182	0.2354	0.2367	-0.0822	0.3325	0.1901	0.4824	0.2569	0.1335	0.1986	0.4461	0.3682	-0.1266	0.0285	0.266	0.1526	0.2991	0.3086	0.3887	0.0229
ZNF584	0.3005	0.3438	0.0691	0.1131	0.2266	0.1832	0.1288	0.0821	0.3328	0.1657	0.1784	0.3261	0.1663	0.3257	0.1474	0.3202	0.255	0.3907	0.3012	0.338	0.2932	0.116	0.2876	0.2433	0.2446	0.1263	0.0036	-0.0006	0.1651	0.2098	0.1343	0.2268	0.1752	0.2087	0.2547	0.1042	0.1585	0.117	0.0935	0.2507	0.1729	0.0758	0.0897	0.2807	0.0825	0.0776	0.0367	0.1063	0.1884	0.0411	0.1173
C7ORF60	0.1026	0.5943	-0.016	-0.2801	0.1162	-0.1176	0.4084	0.3002	0.3392	0.0322	0.1853	0.5976	0.1665	0.3137	0.1559	0.1356	0.2057	0.4541	-0.0128	0.2963	0.5196	-0.0461	0.2337	-0.0509	0.1679	0.1709	0.2979	-0.1639	0.1811	-0.1416	-0.0915	0.0701	-0.1074	-0.1443	0.2749	-0.0636	-0.2029	-0.04	-0.0045	0.1724	-0.2017	-0.1184	-0.1664	0.1415	-0.1001	-0.1324	-0.2741	-0.1336	0.2515	-0.1092	0.1715
SEC16B	-0.1004	0.071	-0.0313	0.1765	0.0801	0.0508	0.2093	0.0166	0.1613	0.0507	0.0682	0.1115	-0.0592	-0.0778	-0.1592	-0.0967	-0.0032	-0.034	-0.0885	0.0181	0.0513	0.1271	-0.0073	0.052	0.2033	-0.0501	0.1982	0.0955	0.0891	0.0682	0.2319	0.14	0.2103	0.1322	0.1716	0.1096	0.061	-0.1223	0.1089	0.1993	0.165	0.0918	0.1806	0.1752	0.0245	0.2344	0.1286	0.0832	0.0626	0.0734	-0.1385
ARL15	-0.2146	0.1881	-0.3396	-0.1677	-0.041	-0.3676	0.5794	-0.0303	0.1905	-0.2403	-0.1729	0.3705	-0.2279	-0.0718	-0.2785	-0.375	-0.0917	-0.1138	-0.3597	-0.0162	0.2911	-0.2428	-0.2563	-0.315	0.1448	-0.1937	0.4109	-0.2309	-0.0961	-0.3494	-0.3618	-0.0953	-0.3624	-0.3894	0.1159	-0.4016	-0.2288	-0.3186	-0.3416	-0.0201	-0.4507	-0.329	-0.2967	0.013	-0.2675	-0.3162	-0.3544	-0.2222	0.0177	-0.2041	-0.1717
RNF144B	-0.0707	-0.0561	0.5159	0.3358	0.0825	0.449	-0.1374	0.3553	-0.0283	0.4098	0.2924	-0.1895	0.2556	0.0471	0.0771	0.0993	0.1779	0.0983	0.2149	0.0916	-0.0359	0.2962	0.3068	0.1737	0.0211	0.4458	-0.0914	0.3439	0.209	0.2979	0.2886	0.2313	0.4179	0.3334	-0.1201	0.3611	0.1009	0.1321	0.1987	0.1501	0.3628	0.4251	0.3747	0.0707	0.2228	0.3542	0.2206	0.2595	0.2182	0.3557	0.1055
ZNF207	0.4104	0.3201	0.2554	0.0327	0.1719	0.2326	0.0406	0.5281	0.3357	0.3159	0.3414	0.1461	0.4673	0.3521	0.4725	0.422	0.5719	0.4642	0.2856	0.3	0.2048	0.2795	0.3652	0.0958	0.2455	0.417	0.1363	0.2194	0.5802	0.1788	0.2292	0.1869	0.2745	0.2004	0.0044	0.3108	0.0564	0.4821	0.3376	0.1858	0.212	0.2483	0.27	0.0904	0.0437	0.2061	0.0811	0.2653	0.2824	0.2144	0.322
RAB32	-0.0314	-0.0762	0.175	0.1823	0.0687	0.2656	-0.1963	0.172	-0.19	0.2631	0.3764	-0.2233	0.1631	-0.0462	0.1014	0.0945	-0.0154	0.0369	0.1127	0.1503	-0.1189	0.1825	0.2437	0.0614	-0.1785	0.2339	-0.1052	0.2307	0.0666	0.2541	0.3628	0.2399	0.3193	0.1472	-0.1312	0.4115	-0.0563	0.141	0.2272	0.2704	0.1966	0.4061	0.3478	0.05	0.1479	0.3124	0.1811	0.1507	0.1217	0.4015	-0.0947
ESD	0.1451	0.3982	0.2034	0.0588	0.1582	0.1039	0.2653	0.2523	0.3124	0.1019	0.2016	0.3583	0.2416	0.3074	0.1951	0.2764	0.2908	0.4144	0.2013	0.3114	0.3214	0.1226	0.3569	0.1077	0.2512	0.2246	-0.0184	-0.0251	0.0695	0.1188	0.137	0.1535	0.0859	0.1553	0.191	0.0374	0.1114	0.0461	0.1732	0.2093	0.0859	0.0789	0.0688	0.167	0.0483	0.0326	0.0604	0.1195	0.2223	-0.0443	0.1577
AP4E1	-0.0093	0.1602	0.0603	0.1118	0.3403	0.1406	0.2247	0.3048	0.0623	0.3431	0.2181	0.1172	0.2478	0.2663	0.1834	0.143	0.0737	0.3155	0.0566	0.3586	0.1595	0.1943	0.3651	0.1284	0.0738	0.1369	-0.1479	0.2029	0.0434	0.1415	0.1559	0.2221	0.2166	0.1756	0.2421	0.1313	0.0222	0.1574	0.107	0.114	0.1526	0.2071	0.1774	0.1089	0.1895	0.1542	0.0558	0.0918	0.1733	0.2397	-0.1638
PIANP	0.1083	0.4168	-0.0782	-0.1027	0.1844	-0.0257	0.4507	0.1889	0.5464	-0.1369	-0.1218	0.6505	-0.0576	0.2151	-0.0976	0.052	0.2051	0.3682	0.2047	0.2381	0.5994	0.0806	0.0671	0.0991	0.4726	-0.0695	0.3414	-0.0136	0.084	0.0259	-0.0148	0.0189	0.0472	-0.0143	0.289	-0.1015	0.0363	-0.185	0.1006	0.1014	-0.0384	-0.148	-0.127	0.3282	-0.0215	-0.0756	-0.0415	-0.009	0.0312	-0.1894	0.2356
KLHL6	0.0493	-0.0685	0.4654	0.3008	0.1514	0.4016	-0.3079	0.2158	-0.0436	0.3935	0.2577	-0.2494	0.2756	0.168	0.2203	0.3006	0.1404	0.2477	0.3564	0.1	-0.1645	0.3691	0.3796	0.2784	-0.0146	0.3191	-0.3235	0.3195	0.1922	0.3995	0.4713	0.2402	0.4546	0.4338	-0.0841	0.4426	0.1753	0.2391	0.3253	0.2329	0.4771	0.4645	0.461	0.0535	0.2878	0.433	0.3599	0.3561	0.1449	0.384	0.0073
ATP5G3	0.1778	0.3617	-0.02	-0.0297	0.226	0.0362	0.256	0.2206	0.3569	0.1061	0.0626	0.3725	0.234	0.3677	0.2339	0.2521	0.1954	0.4267	0.1687	0.2748	0.23	0.1084	0.2906	0.1317	0.0899	0.0115	-0.0229	0.122	0.0774	0.0491	-0.0529	0.127	0.0338	-0.0112	0.2175	0.0792	-0.0098	0.0957	0.1277	0.0893	-0.0282	-0.0045	-0.0492	0.284	0.0379	-0.0861	-0.0162	-0.033	0.1524	0.0169	0.123
OLIG1	0.4285	0.1053	0.2141	0.0468	0.2462	0.0886	-0.0499	0.3199	0.1186	0.4168	0.2565	-0.0928	0.5083	0.5559	0.7086	0.6071	0.2861	0.4412	0.3074	0.3524	-0.0637	0.2155	0.3487	0.0626	-0.0485	0.2175	-0.3081	0.147	0.1893	0.0529	0.1033	0.0453	0.0395	0.0806	0.0196	0.1957	0.1203	0.6111	0.1241	-0.0913	0.0901	0.2314	0.127	-0.0997	0.0162	0.0557	0.0448	0.1542	0.1895	0.2397	0.0879
PLEKHG4	0.2788	0.1388	0.3066	0.2858	0.3286	0.3716	-0.1478	0.1411	0.1526	0.4688	0.3581	-0.0379	0.255	0.4106	0.356	0.5136	0.25	0.4238	0.4557	0.3011	-0.0087	0.3759	0.3701	0.237	0.0899	0.2876	-0.2286	0.2029	0.0886	0.3659	0.3684	0.2635	0.3681	0.3607	0.114	0.3593	0.1723	0.3092	0.1987	0.2439	0.3691	0.3559	0.3661	0.1967	0.1717	0.3149	0.2128	0.2746	0.226	0.2711	0.0298
TTLL11	0.4377	0.3043	0.0828	0.0963	0.2334	0.1558	0.0859	0.1484	0.2753	0.2865	0.3215	0.178	0.3372	0.3529	0.44	0.5223	0.2211	0.4447	0.2658	0.3477	0.156	0.21	0.3359	0.0808	0.1335	0.1925	-0.0804	0.0442	0.149	0.195	0.2886	0.2066	0.2363	0.2003	0.2453	0.2175	0.2133	0.3836	0.1902	0.2041	0.1937	0.2162	0.2147	0.1659	0.0253	0.137	0.1419	0.1367	0.179	0.1472	0.1192
GNAS	0.1867	0.0678	0.2312	0.1863	0.0088	0.4023	-0.1703	0.2937	0.1005	0.2451	0.2745	-0.042	0.2177	-0.0833	0.1129	0.1713	0.3284	0.142	0.2261	0.0817	-0.0131	0.2682	0.1488	0.2854	0.1641	0.3052	0.2082	0.3539	0.5365	0.2635	0.4174	0.1882	0.4585	0.369	-0.0655	0.4181	0.033	0.2934	0.3327	0.2107	0.4117	0.3064	0.3805	0.1155	0.1983	0.3683	0.1872	0.2758	0.2082	0.2115	0.2499
SCAI	-0.0022	0.5462	-0.3867	-0.3423	0.0813	-0.297	0.6331	0.1331	0.329	-0.2649	-0.0447	0.7044	-0.1066	0.1068	-0.1713	-0.1974	0.0234	0.2501	-0.179	0.226	0.6147	-0.2203	0.0169	-0.1969	0.2177	-0.2199	0.4579	-0.2462	-0.016	-0.2263	-0.2191	0.0783	-0.2343	-0.2597	0.3085	-0.2614	-0.2789	-0.2558	-0.0787	0.1196	-0.3221	-0.3189	-0.3328	0.163	-0.2127	-0.2714	-0.2981	-0.2406	0.0481	-0.2421	0.007
SLC4A8	0.0403	0.3469	-0.4147	-0.1846	0.0497	-0.2625	0.6209	0.1144	0.3568	-0.2783	-0.079	0.5454	0.0308	-0.0455	-0.185	-0.2285	-0.0079	0.0374	-0.2752	0.161	0.4383	-0.2072	-0.076	-0.201	0.1585	-0.3155	0.4417	-0.1519	-0.0468	-0.2099	-0.2382	-0.0135	-0.2292	-0.2653	0.2532	-0.31	-0.2171	-0.2442	-0.0575	-0.0238	-0.3987	-0.3249	-0.2889	0.1874	-0.232	-0.2603	-0.207	-0.2257	0.0687	-0.2004	-0.0486
S1PR3	-0.0401	-0.0556	0.6214	0.2994	0.0916	0.3468	-0.2518	0.2472	-0.004	0.4365	0.2367	-0.2948	0.3625	0.265	0.2912	0.2714	0.207	0.1608	0.269	0.0848	-0.1493	0.2158	0.3686	0.1004	-0.0611	0.5808	-0.33	0.19	0.0955	0.2671	0.1322	0.1654	0.1859	0.1954	-0.1146	0.1643	0.1589	0.1807	0.0494	0.0338	0.2132	0.2996	0.2456	-0.0317	0.1639	0.2004	0.1372	0.2178	0.3032	0.2175	0.0235
CREBBP	0.0342	0.2535	0.052	0.1615	0.3925	0.1579	0.2931	0.2479	0.3044	0.2383	0.0848	0.2822	0.2371	0.2645	0.0612	0.1824	0.1778	0.3784	0.1471	0.2343	0.2462	0.1533	0.3283	0.2795	0.2811	0.0652	-0.0384	0.124	0.0885	0.2027	0.1426	0.158	0.1377	0.2408	0.2705	-0.0177	0.1738	0.0062	0.097	0.0496	0.2191	-0.0063	0.0603	0.2541	0.1734	0.0979	0.0758	0.1175	0.2459	-0.0458	-0.0623
SLC30A1	0.2637	0.2916	0.319	0.162	0.2973	0.2979	0.0625	0.2723	0.2589	0.4146	0.2669	0.1881	0.1849	0.4046	0.2818	0.4374	0.2514	0.4277	0.4084	0.3436	0.1947	0.3615	0.33	0.2762	0.1674	0.2829	-0.0871	0.2766	0.2	0.2478	0.3008	0.1665	0.3259	0.3189	0.1603	0.3197	0.1126	0.1294	0.2706	0.2625	0.3179	0.2335	0.2318	0.2066	0.2151	0.2546	0.1456	0.2456	0.2155	0.1729	0.2712
ADCY5	0.3196	0.3039	0.3358	0.0566	0.2819	0.2932	0.0194	0.4014	0.2719	0.3795	0.297	0.2783	0.3663	0.6209	0.4415	0.5984	0.3842	0.7659	0.6006	0.5206	0.4339	0.285	0.6321	0.2497	0.1205	0.3665	-0.2772	0.1015	0.0898	0.3073	0.3026	0.2254	0.2332	0.2893	0.1663	0.2581	0.1989	0.3637	0.2893	0.2213	0.2579	0.2986	0.218	0.1688	0.1417	0.1459	0.1889	0.176	0.2299	0.1926	0.1611
RPAIN	0.3823	0.6194	0.0604	-0.1637	0.3258	-0.0579	0.4132	0.2965	0.4873	0.1604	0.1377	0.5879	0.2847	0.6191	0.3773	0.421	0.3101	0.6251	0.1823	0.4543	0.4846	0.0913	0.3333	-0.003	0.1503	0.1273	0.0162	-0.0535	0.0701	-0.0237	-0.0446	0.1199	-0.0781	0.0146	0.3294	-0.0171	-0.058	0.1663	0.0624	0.1523	-0.1399	-0.0699	-0.1461	0.1836	-0.0072	-0.1436	-0.1474	0.0052	0.2245	-0.045	0.2542
DISP1	0.1706	0.2762	0.4319	0.11	0.2803	0.3748	0.0439	0.3804	0.1937	0.5104	0.3731	0.0997	0.4312	0.5481	0.4262	0.5013	0.3465	0.5678	0.4517	0.443	0.2435	0.24	0.5684	0.2047	0.0713	0.5083	-0.2507	0.2229	0.192	0.3137	0.2797	0.2793	0.2584	0.2443	0.1134	0.2868	0.1663	0.334	0.1643	0.2376	0.2488	0.3382	0.2582	0.141	0.1636	0.1882	0.0923	0.1926	0.3462	0.2443	0.0377
ZNF25	0.2042	0.6789	-0.3119	-0.3426	0.0873	-0.2798	0.6695	0.1917	0.4837	-0.1994	0.0366	0.7746	0.0254	0.2294	0.0136	0.0051	0.1858	0.2795	-0.1728	0.2768	0.6058	-0.0779	-0.0136	-0.1799	0.3058	-0.0996	0.5472	-0.2477	0.0967	-0.2114	-0.1866	0.0768	-0.18	-0.2278	0.3786	-0.224	-0.1689	-0.137	0.0236	0.1266	-0.3179	-0.2805	-0.2937	0.2585	-0.2205	-0.2532	-0.3263	-0.1257	0.1343	-0.2412	0.2221
RSPO3	0.0376	0.1342	0.1338	0.0863	-0.1229	0.0995	-0.0558	-0.0875	0.1219	-0.0016	0.1674	0.0799	-0.0523	-0.0681	-0.0265	0.056	0.0552	-0.0887	-0.102	-0.0429	-0.0875	0.0593	-0.1042	-0.0094	0.112	0.1356	0.2366	-0.0598	0.1317	0.04	0.1362	0.1073	0.1055	0.041	0.0111	0.161	0.0221	-0.0732	0.0488	0.286	0.0635	0.1168	0.1821	0.0723	-0.0226	0.1683	-0.0334	0.132	0.1296	0.0959	0.1142
ATG4C	0.4132	0.3545	0.1414	-0.1129	0.2898	-0.0429	0.098	0.3726	0.1396	0.4101	0.3258	0.0364	0.5359	0.6099	0.7797	0.5563	0.2361	0.559	0.1866	0.4153	-0.0099	0.0738	0.4196	-0.1074	-0.1564	0.2392	-0.2961	0.0405	0.1416	-0.0372	0.0161	0.0891	-0.0637	-0.0811	0.0969	0.143	-0.0542	0.5998	0.0369	0.0354	-0.058	0.178	0.0495	-0.169	-0.0439	-0.0835	-0.0877	0.0047	0.2216	0.1944	-0.0015
ARL13B	0.2483	0.418	0.169	-0.1993	0.194	-0.009	0.2948	0.3518	0.2095	0.2959	0.3032	0.2541	0.3895	0.5366	0.5064	0.3909	0.292	0.433	0.1091	0.4668	0.328	0.0206	0.3226	-0.0982	0.0281	0.4122	-0.0125	-0.068	0.1154	-0.0586	-0.0836	0.156	-0.0772	-0.0888	0.2372	0.022	-0.0964	0.2844	0.0283	0.0957	-0.1567	0.0677	-0.0491	-0.0033	-0.1226	-0.1285	-0.2131	-0.0364	0.3271	0.0981	0.1177
PSMB4	0.498	0.4875	0.0578	-0.0644	0.0687	0.0095	0.1229	0.1299	0.441	0.0101	0.1315	0.4209	0.2196	0.1612	0.2456	0.3253	0.3356	0.2357	0.1072	0.1767	0.1863	0.0669	-0.0558	0.1788	0.2025	0.0673	0.3583	0.0243	0.3929	-0.003	0.0551	0.0134	0.0858	0.0738	0.2295	0.0649	-0.0525	0.1046	0.2227	0.0761	0.0629	-0.1442	-0.1283	0.2853	0.0189	-0.0142	-0.1152	0.088	0.1015	-0.103	0.6003
TKT	0.0938	0.0956	0.3409	0.2889	0.3787	0.3673	-0.0821	0.1696	0.075	0.4444	0.3144	-0.0646	0.2568	0.3609	0.2293	0.3742	0.1648	0.3442	0.3736	0.3371	0.0076	0.268	0.4188	0.3148	0.0604	0.3327	-0.3296	0.2423	0.0142	0.3631	0.303	0.2535	0.3312	0.3804	0.144	0.2553	0.1858	0.191	0.1769	0.1927	0.3493	0.3244	0.2566	0.165	0.2722	0.2428	0.2469	0.2433	0.205	0.1653	-0.0201
HS3ST4	-0.2185	0.016	-0.4776	-0.0719	-0.1211	-0.4405	0.4516	-0.2663	0.1575	-0.4636	-0.2951	0.2582	-0.2844	-0.3603	-0.4599	-0.5345	-0.2335	-0.3862	-0.532	-0.2095	0.1071	-0.3619	-0.4997	-0.2367	0.1302	-0.4303	0.4546	-0.2739	-0.1497	-0.3412	-0.4293	-0.1537	-0.392	-0.3816	0.1306	-0.446	-0.188	-0.5056	-0.3338	-0.1072	-0.4303	-0.4687	-0.3931	0.0324	-0.26	-0.346	-0.3028	-0.2903	-0.1323	-0.3174	-0.1286
ZNF354C	0.0447	-0.1587	0.4493	0.364	0.1752	0.5467	-0.3319	0.1644	-0.1109	0.5175	0.3499	-0.2832	0.2283	0.1662	0.1917	0.3705	0.1611	0.23	0.4472	0.2126	-0.1699	0.4042	0.3985	0.3524	-0.0388	0.3277	-0.3437	0.4176	0.0783	0.4713	0.5335	0.3316	0.5504	0.4994	-0.0493	0.499	0.2639	0.3031	0.3505	0.2241	0.5827	0.5851	0.5024	0.0744	0.3222	0.4896	0.4028	0.4061	0.1798	0.3745	-0.0508
NXPH3	-0.0851	-0.2119	0.2673	0.3177	0.0536	0.4534	-0.3035	0.0081	-0.1397	0.2758	0.2355	-0.2154	0.031	-0.0806	-0.0628	0.1776	0.0031	0.0106	0.2278	-0.0067	-0.1831	0.3077	0.195	0.2841	0.0525	0.22	-0.1744	0.2188	-0.0222	0.4564	0.5833	0.2549	0.4663	0.4916	-0.066	0.3842	0.2805	0.076	0.2521	0.2884	0.5185	0.4331	0.5166	0.1373	0.2344	0.4259	0.4276	0.3203	0.0985	0.254	-0.1388
ERCC6L2	0.1856	0.456	0.0528	-0.0386	0.4097	0.1841	0.3145	0.3568	0.3608	0.3024	0.1794	0.4202	0.3109	0.4776	0.3179	0.3463	0.2929	0.614	0.3071	0.4633	0.3833	0.2029	0.4833	0.2375	0.213	0.1285	0.0124	0.1346	0.2338	0.1412	0.1213	0.2508	0.1669	0.1227	0.3483	0.1538	-0.008	0.2319	0.2419	0.1714	0.1759	0.0837	0.0266	0.2901	0.1397	0.0345	0.0152	0.0905	0.2612	0.0781	0.0723
PSMG4	0.1634	0.122	0.1648	0.1665	0.4104	0.2377	0.022	0.2401	0.1292	0.3449	0.1586	0.0215	0.3543	0.4691	0.3423	0.3801	0.1948	0.5044	0.4099	0.4217	0.2042	0.2437	0.5675	0.3005	0.0871	0.2	-0.3941	0.0621	0.0659	0.3314	0.1738	0.2018	0.1615	0.2688	0.1864	0.1295	0.227	0.2902	0.0485	0.1329	0.2525	0.1956	0.1244	0.081	0.169	0.0645	0.2077	0.0959	0.0815	0.2183	-0.1197
LSAMP	0.4619	0.651	-0.0668	-0.2472	0.0328	-0.0758	0.4083	0.3546	0.5972	-0.0518	0.1362	0.6906	0.1705	0.2355	0.2331	0.2645	0.4405	0.3169	0.0379	0.2312	0.4002	0.0124	-0.0151	-0.0536	0.3037	0.1602	0.5938	0.0139	0.5052	-0.1275	-0.0505	-0.0083	0.0038	-0.1206	0.1527	0.0471	-0.1784	0.1284	0.2302	0.1299	-0.1641	-0.1172	-0.1132	0.242	-0.1144	-0.0962	-0.2485	0.0511	0.202	-0.1344	0.6203
